Address,Latitude,Longitude
"10 Broome Street, WATERLOO  NSW  2017",-33.8989491,151.2144376
"10 Buckland Street, ALEXANDRIA  NSW  2015",-33.899327899999996,151.1982137
"10 Campbell Road, ALEXANDRIA  NSW  2015",-33.914364,151.1833018
"10 Challis Avenue, POTTS POINT  NSW  2011",-33.8686527,151.2247209
"10 Clapton Place, DARLINGHURST  NSW  2010",-33.8762815,151.21951059999995
"10 Clara Street, ERSKINEVILLE  NSW  2043",-33.899190399999995,151.188438
"10 Cleveland Avenue, SURRY HILLS  NSW  2010",-33.8909331,151.21246269999997
"10 Concord Street, ERSKINEVILLE  NSW  2043",-33.9061152,151.1822805
"10 Coneill Place, FOREST LODGE  NSW  2037",-33.879783,151.17657549999996
"10 Cook Road, CENTENNIAL PARK  NSW  2021",-33.8906419,151.231157
"10 Cook Street, GLEBE  NSW  2037",-33.8738211,151.1834675
"10 Corben Street, SURRY HILLS  NSW  2010",-33.884045,151.21228180000003
"10 Cunningham Street, HAYMARKET  NSW  2000",-33.8786075,151.2067489
"10 Dalmeny Avenue, ROSEBERY  NSW  2018",-33.9215854,151.2067609
"10 Darghan Street, GLEBE  NSW  2037",-33.878845500000004,151.19074550000005
"10 Defries Avenue, ZETLAND  NSW  2017",-33.9084898,151.21211540000004
"10 Dibbs Street, ALEXANDRIA  NSW  2015",-33.8998781,151.1924187
"10 Dixon Street, SYDNEY  NSW  2000",-33.876740999999996,151.2040503
"10 Earl Place, POTTS POINT  NSW  2011",-33.873560600000005,151.22301869999995
"10 East Street, REDFERN  NSW  2016",-33.8938016,151.2043095
"10 Edward Street, DARLINGTON  NSW  2008",-33.8892789,151.1969868
"10 Evans Road, RUSHCUTTERS BAY  NSW  2011",-33.8732404,151.22861809999995
"10 Fitzroy Street, NEWTOWN  NSW  2042",-33.8932833,151.18617
"10 Francis Street, DARLINGHURST  NSW  2010",-33.8758348,151.2130059
"10 Gibbes Street, NEWTOWN  NSW  2042",-33.8994001,151.1797167
"10 Goodchap Street, SURRY HILLS  NSW  2010",-33.88085170000001,151.21253230000005
"10 Gottenham Street, GLEBE  NSW  2037",-33.8797716,151.1886341
"10 Great Buckingham Street, REDFERN  NSW  2016",-33.8903472,151.206623
"10 Henderson Road, ALEXANDRIA  NSW  2015",-33.8969209,151.1987346
"10 Hutchinson Place, SURRY HILLS  NSW  2010",-33.8855425,151.217609
"10 James Street, WATERLOO  NSW  2017",-33.9020468,151.20234069999995
"10 Jesmond Street, SURRY HILLS  NSW  2010",-33.8830158,151.2151178
"10 Keegan Avenue, GLEBE  NSW  2037",-33.8777659,151.1872449
"10 Kendall Street, SURRY HILLS  NSW  2010",-33.8871925,151.2165965
"10 Lodge Street, FOREST LODGE  NSW  2037",-33.8836417,151.1853767
"10 Longdown Street, NEWTOWN  NSW  2042",-33.893024100000005,151.18264169999995
"10 Lyndhurst Street, GLEBE  NSW  2037",-33.8778849,151.190955
"10 Macquarie Street, SYDNEY  NSW  2000",-33.8689869,151.2127485
"10 Marsden Street, CAMPERDOWN  NSW  2050",-33.887352299999996,151.1783322
"10 Martin Road, CENTENNIAL PARK  NSW  2021",-33.89853710000001,151.2265689
"10 Missenden Road, CAMPERDOWN  NSW  2050",-33.8882491,151.18150669999997
"10 Moore Park Road, PADDINGTON  NSW  2021",-33.886373,151.2194967
"10 Morehead Street, REDFERN  NSW  2016",-33.8912052,151.20940359999997
"10 Mount Street, REDFERN  NSW  2016",-33.8935662,151.21535590000005
"10 Nicolle Walk, HAYMARKET  NSW  2000",-33.88092,151.20293999999996
"10 Nimrod Street, DARLINGHURST  NSW  2010",-33.8766781,151.222368
"10 O'Connell Street, NEWTOWN  NSW  2042",-33.8938271,151.1822831
"10 Park Street, ERSKINEVILLE  NSW  2043",-33.898644899999994,151.1893339
"10 Phillips Street, ALEXANDRIA  NSW  2015",-33.8981055,151.1962675
"10 Point Street, PYRMONT  NSW  2009",-33.8652125,151.19333369999995
